Model,Accuracy,AUC,Precision,Recall,F1 Score,MCC
Logistic Regression,0.8605442176870748,0.8115255405289,0.6153846153846154,0.3404255319148936,0.4383561643835616,0.3871482408107933
Decision Tree,0.7653061224489796,0.6105177017830993,0.3103448275862069,0.3829787234042553,0.34285714285714286,0.20355850291983213
KNN,0.8435374149659864,0.5946248600223965,0.5384615384615384,0.14893617021276595,0.23333333333333334,0.22220114340890812
Naive Bayes,0.6462585034013606,0.7031613403393919,0.2605042016806723,0.6595744680851063,0.37349397590361444,0.22645197588641655
Random Forest,0.8469387755102041,0.7855543113101904,0.6,0.1276595744680851,0.21052631578947367,0.2253604497577609
